Submission id,Participant id,Status,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status
64e62843ac496dface9f565c,5f17553ce0feb10c3dd2b16a,APPROVED,2023-08-23T15:39:54.571000Z,2023-08-23T16:01:58.102000Z,2023-08-23T16:01:59.630000,2023-08-23T16:01:59.555468Z,1324,CRSWQ1W7,2764,52,Female,White,United States,United States,United States,English,No,Other
64e628501abdfa8e9ffa506b,5d215a1bbf7f840019701939,APPROVED,2023-08-23T15:46:16.938000Z,2023-08-23T15:57:26.256000Z,2023-08-23T15:57:26.898000,2023-08-23T15:57:26.812912Z,670,CRSWQ1W7,3820,34,Female,White,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
64e62864a683d25396659100,610790e286844c36e02f906c,APPROVED,2023-08-23T15:40:26.562000Z,2023-08-23T15:55:55.465000Z,2023-08-23T15:55:56.103000,2023-08-23T15:55:55.995901Z,929,CRSWQ1W7,3173,29,Female,White,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
64e62866df76318745acbf09,61254fba095b9df425e816ea,APPROVED,2023-08-23T15:40:56.365000Z,2023-08-23T16:07:18.938000Z,2023-08-23T16:07:19.596000,2023-08-23T16:07:19.514361Z,1583,CRSWQ1W7,3809,26,Female,Black,United States,United States,United States,English,No,DATA_EXPIRED
64e62873da51f3205f6089a1,5dcc3ec7db13278d75c8622f,APPROVED,2023-08-23T15:41:03.835000Z,2023-08-23T16:01:35.687000Z,2023-08-23T16:01:36.347000,2023-08-23T16:01:36.277754Z,1232,CRSWQ1W7,2686,38,Female,White,United States,United States,United States,English,No,DATA_EXPIRED
64e628989006ead3e5e8d88e,5f8b022ec072cf1d32d4f0bf,APPROVED,2023-08-23T15:41:20.539000Z,2023-08-23T16:18:56.984000Z,2023-08-23T16:18:57.569000,2023-08-23T16:18:57.495176Z,2257,CRSWQ1W7,400,21,Female,White,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
64e6289d07fff6fc2617b5d3,5e646461698a071f2f15423e,APPROVED,2023-08-23T15:41:22.037000Z,2023-08-23T16:02:48.715000Z,2023-08-23T16:02:49.846000,2023-08-23T16:02:49.886947Z,1287,CRSWQ1W7,4431,57,Female,White,United States,United States,United States,English,Yes,Full-Time
64e628b4249cae491c29e19e,64666d2ac5eef6c2edef35c0,APPROVED,2023-08-23T15:41:40.394000Z,2023-08-23T16:07:14.603000Z,2023-08-23T16:07:15.237000,2023-08-23T16:07:15.166077Z,1535,CRSWQ1W7,883,51,Female,Black,United States,United States,United States,English,Yes,Full-Time
64e628c2f0c915cbfd22ad50,5c1976c90d57c30001b4162c,APPROVED,2023-08-23T15:42:04.677000Z,2023-08-23T16:10:36.951000Z,2023-08-23T16:10:49.444000Z,2023-08-23T16:10:55.996554Z,1713,CRSWQ1W7,5188,72,Female,White,United States,United States,United States,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
64e628c6ffffe0441aa5ddc8,5d88db42c1d06e001a1fdcab,APPROVED,2023-08-23T15:41:58.504000Z,2023-08-23T15:52:40.119000Z,2023-08-23T15:52:40.684000,2023-08-23T15:52:40.607264Z,642,CRSWQ1W7,6175,49,Female,White,United States,United States,United States,English,No,Full-Time
